PWSID,FacilityID,SamplePointID,HAA.Group,BCAA,BDCAA,DBCAA,DBAA,DCAA,MBAA,MCAA,TBAA,TCAA
AZ0407025,1,1310,HAA5,6.3125,3.74,2.72,4.8325,5.685,1.2035,0,0.585,1.95
AZ0407033,50108,S2DBP108,HAA5,0.395,0,0,0.805,0,0,0,0,0
AZ0407046,90102,02A,HAA5,0.783,0,0.179,2.185,0.3,0.401,0,0,0.3855
AZ0407056,107,01A,HAA5,0.245,0,0,1.385,0.1125,0,0,0,0
AZ0407078,7078,01A,HAA5,1.13,0,0.655,3.7,0.155,0.6,0,2.45,0
AZ0407088,1,01A,HAA5,0.705,0,0.5335,2.82,0.2255,0.419,0,0,0
AZ0407090,12888,02A,HAA5,6.5,7.05,2.7025,2.2575,10.8275,0.165,0.5,1.175,13
AZ0407091,31411,02A,HAA5,0.4205,0,0,0.5805,0.244,0,0,0,0
AZ0407092,3,04A,HAA5,7.15,5.475,3.4,4.375,12.225,0.655,1.7,1.85,7.325
AZ0407093,99909,MR008,HAA5,5.925,5.5,2.775,2.55,7.05,0.3475,0,0.6,5.75
AZ0407094,12785,T2,HAA5,0.425,0,0.32,4.25,0,0.74,0,2.7,0
AZ0407095,99000,01A,HAA5,10.25,7.075,3.175,5.3,17.25,0.215,1.05,1.275,9.4
AZ0407096,835,35,HAA5,7.733333333,7.266666667,3.566666667,3.633333333,10.3,0.926666667,0.766666667,0,7.833333333
AZ0407098,155,ST155,HAA5,4.525,3.225,2.225,2.675,5,0.6175,0,1.675,2.575
AZ0407099,133,SCDBP6,HAA5,0.269,0,0.1545,0.7365,0.2775,0,0,0,0
AZ0407100,90000,02ADBP,HAA5,7.89,6.4125,3.305,4.2375,8.2325,0,0,0,5.3325
AZ0407120,136,02A,HAA5,0.1625,0,0,1.6,0,0.34,0,0,0
AZ0407150,140,SCWDBP1,HAA5,0.54,0,0,1.417,0.3635,0,0,0,0
AZ0407154,7154,04A,HAA5,0.63,0,0.175,0.96,0.54,0,0,0,0
AZ0407406,12705,DS001,HAA5,1.6,0,0.775,15.9,0.395,0.26,0,0,0
AZ0407500,7500,MVDDBP4,HAA5,0.494,0,0,1.02,0.4055,0.194,0,0,0
AZ0407504,1,DS001,HAA5,5.02,4.6975,2.2325,2.835,7.215,0.44,0.5,0,5.535
AZ0407520,10005,V5,HAA5,1.4,0.52,0.63,1.4,0.84,0,0,2.6,0
AZ0407522,1,1990,HAA5,3.05,1.3475,1.105,2.45,3.22,0.0975,0,0,1.57
AZ0407523,13500,DS001,HAA5,0.24,0,0,0,0.24,0.16,0,0,0
AZ0407531,1,DS002,HAA5,0.342,0,0,0.5345,0.259,0,0,0,0
AZ0407695,2,DS001,HAA5,5.224333333,3.39,1.123333333,2.516666667,9.338666667,0.706666667,1.746666667,0,5.663333333
AZ0408020,90001,DS004,HAA5,0,0,0,0.6,0,0,0,0,0
AZ0408022,14480,01A,HAA5,4.025,2.015,3.82,7.36,1.89,1.0175,0,2.44,0.64
AZ0408032,3,DS002,HAA5,0.434,0,0.2135,0.904,0.565,0,0,0,0
AZ0408062,13142,DS001,HAA5,0,0,0,0.31,0,0,0,0,0
AZ0408063,9634,01A,HAA5,2.9,0.5,0.55,2.4,2.3,0,0,1.15,0.36
